wine_name,sweetness,country_name,vintage_count,ratings_count
Montepulciano d'Abruzzo,1.8085397,Italie,6,1398
Côte Rôtie La Brocarde,1.4756179,France,1,278
FAY Cabernet Sauvignon,1.6258094,États-Unis,1,10840
ARTEMIS Cabernet Sauvignon,1.6038561,États-Unis,1,81351
S.L.V. Cabernet Sauvignon,1.5965983,États-Unis,1,6560
Pomerol,1.6909002,France,9,9531
Nuits-Saint-Georges 1er Cru Les Damodes,1.6620766,France,1,793
Serral del Vell Brut Nature,,Espagne,1,2418
Saint-Émilion Grand Cru,1.663135,France,2,2829
Saint-Julien (Grand Cru Classé),1.7608945,France,2,33618
Amarone della Valpolicella Classico,3.2302346,Italie,2,5450
Campo del Titari Amarone della Valpolicella Classico Riserva,3.3925745,Italie,1,2946
Red Blend,1.0952381,Chili,1,102
Pauillac (Grand Cru Classé),1.5896021,France,3,39731
Brunello di Montalcino Riserva,1.3216767,Italie,2,306
Attunga 1865 Shiraz,2.2782757,Australie,1,371
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,,France,3,9564
Amarone della Valpolicella Classico Riserva (Sergio Zenato),3.317101,Italie,4,9963
Château Margaux (Premier Grand Cru Classé),1.6031541,France,14,45350
Chambertin Clos de Bèze Grand Cru,1.7697161,France,2,983
Chapelle d'Ausone Saint-Émilion Grand Cru,1.6023306,France,5,1086
Old Vines Primitivo di Manduria,3.1212282,Italie,1,20904
Barolo Riserva Bricco Boschis Vigna San Giuseppe,1.718982,Italie,2,4030
Amarone della Valpolicella,3.3443024,Italie,1,2680
Carabantes Syrah,1.8499508,Chili,1,4523
Montelìg,1.7488612,Chili,2,2905
Toknar,,Chili,1,2033
Chambertin Grand Cru,1.7182577,France,3,2542
Vieille Vigne Griottes-Chambertin Grand Cru,1.564988,France,1,257
Falletto Barbaresco Asili,1.6401669,Italie,1,3450
Falletto Barolo Le Rocche del Falletto,1.6728317,Italie,3,1883
Falletto Barolo Le Rocche del Falletto Riserva,1.9755139,Italie,7,622
Châteauneuf-du-Pape,1.724843,France,5,38998
Chambolle-Musigny Les Baudes,1.5560156,France,1,525
Sauternes (Premier Grand Cru Classé),4.874369,France,2,19239
Bolgheri Superiore,1.6207539,Italie,1,8918
Alexander Valley Cabernet Sauvignon,1.465726,États-Unis,1,46066
One Point Five Cabernet Sauvignon,1.615925,États-Unis,1,16341
Grange,2.106661,Australie,4,24356
Vintage Port,4.767169,Portugal,1,1076
Comtes de Champagne Blanc de Blancs,,France,2,27449
Georges De Latour Private Reserve Cabernet Sauvignon,1.6130458,États-Unis,2,12652
Barolo Riserva Granbussia,1.7309649,Italie,2,1728
Campo León Amarone della Valpolicella,3.2609541,Italie,2,7778
Tinto,1.8429217,Espagne,1,65625
Dolç de L'Obac,,Espagne,1,440
Côtes du Rhône,1.8865546,France,1,8196
Vacqueyras,1.9571805,France,1,3412
Cabernet Sauvignon,1.6591489,États-Unis,2,2830
Cabernet Sauvignon,1.64487,États-Unis,1,5927
Mongovone Barbera d'Asti Superiore,2.1969864,Italie,1,2771
Barolo Riserva Monprivato Cà d'Morissio,1.4942112,Italie,4,588
Tenuta Montebello Picconero,1.8024508,Italie,1,2011
Brut Rosé Champagne,,France,1,21147
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.7328519,France,11,28198
La Chapelle de La Mission Haut-Brion Pessac-Léognan,1.572223,France,1,6754
Pessac-Léognan Blanc (Grand Cru Classé de Graves),2.0481691,France,6,1206
Brunello di Montalcino,1.611603,Italie,2,9257
Yarden Katzrin,1.7388242,Israël,1,894
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.8411175,France,8,6637
Brunello di Montalcino Riserva,1.7324257,Italie,1,273
Brunello di Montalcino,1.5966768,Italie,1,3836
Pessac-Léognan (Premier Grand Cru Classé),1.6701751,France,15,39605
Hohenmorgen G.C,1.8806442,Allemagne,3,378
Kalkofen G.C,1.6690775,Allemagne,3,188
Gran Corte (VII),1.6814054,Argentine,1,15016
Gran Malbec (X),2.0887423,Argentine,1,12579
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.7128869,France,1,17090
Sauternes,4.8703017,France,9,44126
Cà Bertoldi Amarone della Valpolicella Classico,3.1258953,Italie,1,3708
Toscana,1.7960262,Italie,1,7434
Corton-Charlemagne Grand Cru Blanc,1.7833043,France,1,2453
Les Noisetiers,2.8619092,États-Unis,1,7035
Romanée-Saint-Vivant Grand Cru,1.9474717,France,4,463
Cuvée des Cadettes Châteauneuf-du-Pape,1.8081548,France,1,3283
Treinta y Dos Pinot Noir,1.6315441,Argentine,1,3417
Kairos,2.3404412,Italie,5,7364
Amarone della Valpolicella Classico,3.1482265,Italie,1,1940
Vürsù Barolo Campè,1.683044,Italie,5,6260
Pomerol,1.6694585,France,1,3870
R.D Extra Brut Champagne (Récemment Dégorgé),,France,3,7737
Pegrandi Amarone della Valpolicella Classico,3.4340096,Italie,1,1833
Poggio all'Oro Brunello di Montalcino Riserva,1.7356478,Italie,1,7033
Vosne-Romanée Premier Cru Les Suchots,1.5834846,France,1,522
Amarone della Valpolicella Classico,3.1110313,Italie,1,1670
Vintage Port,4.742126,Portugal,1,1972
Charmes-Chambertin Grand Cru,1.8423979,France,1,718
Pieve Santa Restituta Brunello di Montalcino,1.6279902,Italie,2,21867
Oreno Toscana,1.7219682,Italie,1,12407
Brunello di Montalcino,1.4919492,Italie,1,5202
Pomerol,1.9707285,France,6,32157
Brunello di Montalcino,1.6518015,Italie,2,5608
MV,,France,2,4763
Saint-Émilion Grand Cru (Grand Cru Classé),1.712247,France,1,3498
Amarone della Valpolicella Classico,3.5196304,Italie,1,1029
Campo Inferi Amarone della Valpolicella Classico Riserva,3.2049477,Italie,3,2112
Margaux (Grand Cru Classé),1.5161626,France,1,15699
Baffonero Maremma Toscana,1.9581413,Italie,2,1682
Amarone della Valpolicella,3.1522312,Italie,2,2610
Isosceles,1.5961691,États-Unis,1,18920
Toscana Rosso,2.0958486,Italie,5,2799
Toscana,1.9710017,Italie,6,2185
Madonna delle Grazie Brunello di Montalcino,1.78457,Italie,4,2747
Tinto,1.9242084,Espagne,3,2511
Château de Cîteaux Meursault 1er Cru 'Charmes' Blanc,1.4910929,France,1,368
Saint-Émilion Grand Cru,1.7287028,France,4,5390
San Vicente Rioja,1.8541847,Espagne,1,10701
Ai Suma Barbera d'Asti,1.8523548,Italie,1,3012
Graticciaia,2.752427,Italie,1,2451
Capellanía Reserva,2.006711,Espagne,1,7314
Côtes de Bourg,1.7147912,France,2,8249
Sauternes (Premier Grand Cru Classé),4.8788157,France,2,17293
Gran Reserva Rioja (Finca Ygay),1.7195264,Espagne,1,9595
Valbuena 5º,1.8354994,Espagne,2,72784
Ben Ryé Passito di Pantelleria,,Italie,1,21351
Finca Altamira Malbec,2.0809925,Argentine,1,8093
Côte-Rôtie,1.6012559,France,1,7177
Saint-Émilion Grand Cru (Premier Grand Cru Classé),1.8600491,France,7,15671
Barolo Paiagallo,1.7034084,Italie,1,1917
Gratallops Partida Bellvisos,1.5160202,Espagne,1,627
Brunello di Montalcino,1.5823619,Italie,1,1598
Montrachet Grand Cru,2.049862,France,1,495
Lagrein Riserva Porphyr,2.1028726,Italie,3,5123
