wines_name,countries_name,vintages_count,wines_ratings_count,wines_ratings_count,wines_acidity
Red Blend,États-Unis,2,457,4.5,3.7789743
Recioto della Valpolicella Classico Riserva,Italie,1,27,4.5,
Raut Lagrein,Italie,1,58,4.5,2.935
Quarto Vecchio Amarone della Valpolicella Classico Riserva,Italie,1,292,4.5,2.3284905
Pym-Rae Red Blend,États-Unis,2,273,4.5,3.9538462
Puligny-Montrachet Premier Cru La Garenne,France,1,200,4.5,3.101746
Pour Vous Sancerre,France,1,125,4.5,3.9860346
Poggio all'Oro Brunello di Montalcino Riserva,Italie,1,7033,4.5,3.871886
Pieve Santa Restituta Sugarille Brunello di Montalcino,Italie,1,3717,4.5,3.915702
Pieve Santa Restituta Rennina Brunello di Montalcino,Italie,1,3393,4.5,3.89392
Pietro Dal Cero Amarone della Valpolicella,Italie,3,6424,4.5,2.378941
Pian delle Vigne Vignaferrovia Brunello di Montalcino Riserva,Italie,3,2165,4.5,3.843529
Petrucci Melo,Italie,1,61,4.5,3.070184
Pessac-Léognan Blanc (Grand Cru Classé de Graves),France,7,1206,4.5,2.847803
Per Sempre Syrah Toscana,Italie,3,711,4.5,3.0247424
Pedrouzos Godello,Espagne,1,109,4.5,
Pedro Ximenez Tradición 20 Years Old Vos,Espagne,1,954,4.5,3.0485075
Papillon,États-Unis,2,30682,4.5,3.8795583
Ozanne Blanc de Blancs Brut Champagne Grand Cru 'Avize',France,1,484,4.5,4.436636
Overture,États-Unis,1,16804,4.5,3.7507076
One Point Five Cabernet Sauvignon,États-Unis,1,16341,4.5,3.6205707
Oh Carlos Manuel! Tinto,Portugal,1,58,4.5,3.0
NŌ Rosso,Italie,1,297,4.5,2.7097607
Nuits-Saint-Georges 1er Cru 'Aux Murgers',France,1,40,4.5,3.7833333
Negru de Purcari Limited Edition,Moldavie,1,970,4.5,
N.P.U. Extra Brut Champagne (Nec Plus Ultra),France,1,1482,4.5,4.434429
Montrachet Grand Cru Blanc,France,1,700,4.5,3.220548
Monte Bello,États-Unis,1,11978,4.5,3.931059
Mironia Black Edition Tempranillo,Espagne,1,187,4.5,3.4979887
Meursault 1er Cru 'Genevrières' Blanc,France,1,311,4.5,3.3573976
Messorio,Italie,9,5514,4.5,3.0969987
Mazzano Amarone Della Valpolicella Classico,Italie,2,3276,4.5,2.3791337
Mas Via Gran Reserva Brut,Espagne,1,408,4.5,3.0205164
Marmar,Allemagne,2,514,4.5,4.2271385
Mark Bradford Vineyard Pinot Noir,États-Unis,1,254,4.5,3.90147
Magma,Italie,1,748,4.5,2.6935751
Madonna delle Grazie Brunello di Montalcino,Italie,4,2747,4.5,3.8020136
MV Rosé,France,1,588,4.5,4.088041
MV,France,2,4763,4.5,4.2182946
Lux Vitis,Italie,1,530,4.5,3.118875
Lupi e Sirene Riserva,Italie,1,1292,4.5,3.8292072
Lupi Rezerva,Moldavie,2,7604,4.5,
Luce Brunello di Montalcino,Italie,2,6544,4.5,3.8107924
Limited Edition 10 Vendemmie,Italie,1,9453,4.5,3.6990364
Lilium Est Amarone Della Valpolicella Riserva,Italie,1,733,4.5,2.3784134
Les Poyeux Saumur Champigny,France,2,2005,4.5,3.9530256
Les Ouvrées Rodin Chambertin-Clos de Bèze Grand Cru,France,3,33,4.5,4.3482275
Les Clos Chablís Grand Cru,France,1,1750,4.5,4.0021567
Le Montrachet Grand Cru,France,3,236,4.5,3.2913992
Le Désir,États-Unis,2,1694,4.5,3.8459346
Le Bourg Saumur Champigny,France,3,1264,4.5,3.9739747
La Muse,États-Unis,1,1948,4.5,3.8187344
La Landonne Côte-Rôtie,France,3,584,4.5,3.9599433
La Grande Dame Brut Champagne,France,1,17474,4.5,4.434174
La Grande Année Brut Champagne,France,2,24646,4.5,4.3674808
LR,Italie,2,503,4.5,2.8259842
Kupra Marche,Italie,1,637,4.5,3.2562952
Kapnios Aglianico,Italie,1,1134,4.5,2.4206295
Kalós Cru Gran Reserva Malbec,Argentine,1,3351,4.5,2.821417
Isosceles,États-Unis,1,18920,4.5,3.8931477
Il San Lorenzo Bianco,Italie,1,673,4.5,3.7512586
Ice Wine de Purcari,Moldavie,1,722,4.5,
Hérédita Châteauneuf-du-Pape,France,1,185,4.5,3.0220466
Howell Mountain Cabernet Sauvignon,États-Unis,1,6466,4.5,3.415652
Hommage à Jacques Perrin Châteauneuf-du-Pape,France,7,6121,4.5,3.1056042
Habemus Lazio Rosso (Etichetta Rossa),Italie,1,298,4.5,3.2626112
Grenache,États-Unis,1,34,4.5,2.9040003
Grande Cuvée I Terlaner,Italie,1,411,4.5,3.2390347
Grand Vin de Château Palmer (Grand Cru Classé),France,8,29026,4.5,4.143142
Grand Siècle Champagne (Grande Cuvée),France,1,9824,4.5,4.2405996
Gran VU Blend,Argentine,1,2773,4.5,2.9918435
Gran Reserva Ribera del Duero,Espagne,1,2777,4.5,3.7277484
Gran Reserva 890,Espagne,1,11347,4.5,3.7349415
Gran Enemigo,Argentine,1,18739,4.5,3.618031
Grace Vineyard Pinot Noir,États-Unis,1,385,4.5,3.6374085
Gorgona Rosso,Italie,4,119,4.5,3.18
Gaia & Rey Langhe,Italie,1,5909,4.5,3.221216
Fossati Barolo,Italie,1,116,4.5,4.790533
