Wines,Country,Reviews,Rating
Pomerol,France,12214,4.5
Vecchie Vigne Brunello di Montalcino,Italie,3868,4.3
Vosne-Romanée,France,1030,4.3
Pomerol,France,3509,4.4
Chassagne-Montrachet 1er Cru 'La Maltroie',France,779,4.3
Chateauneuf-du-Pape Réserve des Célestins,France,1633,4.6
Pomerol,France,3377,4.4
Toscana Il Pareto,Italie,3195,4.3
Brunello di Montalcino Riserva,Italie,1825,4.3
Saint-Émilion Grand Cru,France,1527,4.4
Les Grandes Places Côte-Rôtie,France,1316,4.4
La Nieta,Espagne,4508,4.6
Vosne-Romanée Premier Cru Aux Reignots,France,645,4.6
Le Bourg Saumur Champigny,France,1264,4.5
Les Poyeux Saumur Champigny,France,2005,4.5
Continuum Estate,États-Unis,6949,4.6
Charmes-Chambertin Grand Cru,France,277,4.4
Trebbiano d'Abruzzo,Italie,5834,4.4
Montepulciano d'Abruzzo,Italie,1398,4.4
Côte Rôtie La Brocarde,France,278,4.4
FAY Cabernet Sauvignon,États-Unis,10840,4.5
ARTEMIS Cabernet Sauvignon,États-Unis,81351,4.4
S.L.V. Cabernet Sauvignon,États-Unis,6560,4.5
Pomerol,France,9531,4.5
Nuits-Saint-Georges 1er Cru Les Damodes,France,793,4.1
Serral del Vell Brut Nature,Espagne,2418,4.3
Saint-Émilion Grand Cru,France,2829,4.4
Saint-Julien (Grand Cru Classé),France,33618,4.3
Amarone della Valpolicella Classico,Italie,5450,4.3
Campo del Titari Amarone della Valpolicella Classico Riserva,Italie,2946,4.6
Red Blend,Chili,102,4.5
Pauillac (Grand Cru Classé),France,39731,4.4
Brunello di Montalcino Riserva,Italie,306,4.4
Attunga 1865 Shiraz,Australie,371,4.4
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,France,9564,4.7
Amarone della Valpolicella Classico Riserva (Sergio Zenato),Italie,9963,4.5
Château Margaux (Premier Grand Cru Classé),France,45350,4.6
Chambertin Clos de Bèze Grand Cru,France,983,4.4
Chapelle d'Ausone Saint-Émilion Grand Cru,France,1086,4.4
Old Vines Primitivo di Manduria,Italie,20904,4.4
Barolo Riserva Bricco Boschis Vigna San Giuseppe,Italie,4030,4.3
Amarone della Valpolicella,Italie,2680,4.4
Carabantes Syrah,Chili,4523,4.2
Montelìg,Chili,2905,4.4
Toknar,Chili,2033,4.4
Chambertin Grand Cru,France,2542,4.4
Vieille Vigne Griottes-Chambertin Grand Cru,France,257,4.5
Falletto Barbaresco Asili,Italie,3450,4.4
Falletto Barolo Le Rocche del Falletto,Italie,1883,4.5
