wines_name,country,wines_rating_count,vintages_rating_avg,wines_rating_avg
Cosimo Varvaglione Collezione Privata Negroamaro del Salento,Italie,826,4.4,4.3
Corte di Cama Sforzato di Valtellina,Italie,3211,4.4,4.3
Cepparello Red,Italie,24382,4.4,4.3
Castello della Sala Muffato della Sala,Italie,6356,4.5,4.3
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,Italie,4229,4.4,4.3
Brunello di Montalcino Riserva Vigna Paganelli,Italie,14246,4.4,4.3
Brunello di Montalcino Riserva Pian di Conte,Italie,1118,4.4,4.3
Bricco dell'Uccellone Barbera d'Asti,Italie,17625,4.4,4.3
Bric Dël Fiasc Barolo,Italie,9894,4.45,4.3
Barolo Sorì Ginestra,Italie,14481,4.466666666666667,4.3
Barolo Riserva Vigna Rionda,Italie,7060,4.45,4.3
Barolo Riserva Bricco Boschis Vigna San Giuseppe,Italie,8060,4.4,4.3
Barolo Riserva,Italie,12928,2.3,4.35
Barolo Prapò,Italie,2450,4.4,4.3
Barolo Paiagallo,Italie,1917,4.4,4.3
Barolo Monvigliero,Italie,6679,4.5,4.266666666666667
Barolo Le Vigne,Italie,10052,4.45,4.3
Barolo Ginestra Vigna del Gris,Italie,3333,4.5,4.3
Barolo Ciabot Mentin Ginestra,Italie,3525,4.4,4.3
Barolo Cerequio,Italie,3839,4.4,4.3
Barolo Cannubi,Italie,3653,4.4,4.25
Barolo Brunate,Italie,18662,4.44,4.3
Barbera d'Alba Vigna Francia,Italie,14630,4.4,4.3
Barbaresco Rabajà,Italie,10938,4.5,4.3
Barbaresco Gaiun Martinenga,Italie,2298,4.4,4.3
6 Anime Puglia Rosso,Italie,2476,4.5,4.3
25 anni Montefalco Sagrantino,Italie,5419,4.4,4.3
Solare Toscana,Italie,4961,4.5,4.2
Primitivo di Manduria,Italie,2011,4.5,4.2
Pochi Filagn Barbera d'Alba,Italie,410,4.5,4.2
Montepulciano d'Abruzzo,Italie,28608,3.925,4.3500000000000005
Linticlarus Lagrein Riserva,Italie,1387,4.4,4.2
La Ricolma,Italie,1525,4.5,4.2
Cuvée Kermesse Rosso,Italie,1153,4.4,4.2
Cresasso Corvina Veronese,Italie,2333,4.4,4.2
Bolgheri Superiore Sondraia,Italie,12843,4.4,4.2
Amarone Della Valpolicella Marta Galli,Italie,1085,4.4,4.2
