Country,Reviews,Rating,Tannin,Acidity,Vintage Rating,Keywords_count
Campo del Drago Brunello di Montalcino,2854,4.4,3.7435818,3.9112031,4.5,9
Campo del Titari Amarone della Valpolicella Classico Riserva,2946,4.6,2.367429,2.2957995,4.6,8
Campogiovanni Brunello di Montalcino Riserva Il Quercione,1107,4.5,3.4581358,3.803408,4.5,8
Campolongo di Torbe Amarone della Valpolicella Classico,4392,4.5,2.3750587,2.2195082,3.0,9
Camí Pesseroles,1083,4.5,3.3610651,3.5379124,0.0,8
Cannubi Barolo,228,4.5,4.4579563,4.723556,0.0,1
Capellanía Reserva,7314,4.1,,3.2488387,4.4,7
Capitel Monte Olmi Amarone della Valpolicella Classico Riserva,4229,4.3,2.4783933,2.4235454,4.4,9
Carabantes Syrah,4523,4.2,2.9519954,2.6460416,4.4,9
Carmin,931,4.4,3.7262545,3.7490327,0.0,7
Carpathia Heritage,166,4.4,3.268372,3.1726356,4.5,3
Carruades de Lafite Pauillac,13866,4.4,4.0219874,4.112083,4.45,9
Castellberg Pinot Noir,187,4.4,2.311893,3.5972824,0.0,4
Castello della Sala Cervaro della Sala,30203,4.4,,3.8587165,4.433333333333334,7
Castello della Sala Muffato della Sala,6356,4.3,,,4.5,1
Castillo Ygay Gran Reserva Especial Tinto,23170,4.5,3.7520678,3.7596183,4.6,9
Cava Celler Batlle,1575,4.3,,3.4646797,4.4,1
Ca’ del Merlo Rosso Veneto,2198,4.5,2.7463377,2.4017632,4.45,9
Cepparello Red,12191,4.3,3.0117443,3.1967108,4.4,9
Cerretalto Brunello di Montalcino,5373,4.7,3.6501353,3.8362374,4.683333333333334,9
Cerretta Barolo Riserva (Vigna Bricco),2065,4.5,4.583418,4.644659,4.466666666666667,9
Chablis Grand Cru 'Valmur',1653,4.5,,3.878626,0.0,2
Chafandin,2570,4.2,3.6940742,3.8019114,4.4,7
Chambertin Clos de Bèze Grand Cru,983,4.4,2.7508845,4.0507774,0.0,9
Chambertin Grand Cru,1293,4.3,2.7089093,3.9825957,2.5934065934065935,9
Chambertin-Clos de Bèze Vieilles Vignes Grand Cru,358,4.5,2.7000108,4.131356,4.6,7
Chambertin-Clos-de-Beze Grand Cru,611,4.5,2.48205,4.1592665,0.0,8
Chambolle-Musigny,3455,4.3,2.600401,4.0891213,4.5,8
Chambolle-Musigny 1er Cru 'Les Amoureuses',59,4.5,2.426795,4.3290386,0.0,1
Chambolle-Musigny Les Baudes,525,4.2,2.7171526,4.360476,4.5,7
Chambolle-Musigny Les Cabottes,413,4.4,2.5458186,4.1607304,0.0,7
Chambolle-Musigny Premier Cru 'Les Feusselottes',262,4.4,2.4941669,3.87661,0.0,2
Chambolle-Musigny Premier Cru Les Charmes,364,4.4,2.6164844,4.2270317,0.0,4
Champ Cain Extra Brut Champagne Grand Cru 'Avize',234,4.4,,4.2807527,0.0,1
Champagne,1021,4.5,,4.522913,0.0,2
Chapelle d'Ausone Saint-Émilion Grand Cru,1086,4.4,3.4600708,3.4394982,0.9199999999999999,8
Chapelle-Chambertin Grand Cru,188,4.5,2.607034,4.219708,0.0,3
Chardonnay,18694,4.3,,2.992915,4.428571428571429,8
Charmes-Chambertin Grand Cru,709,4.4,2.8281336,4.2005577,0.7674698795180722,8
Charmes-Chambertin Grand Cru Les Mazoyères,548,4.4,2.4620166,3.7261949,0.0,5
Chassagne-Montrachet,3269,4.3,,3.2823174,4.4,5
Chassagne-Montrachet 1er Cru 'Morgeot',329,4.4,,3.266263,0.0,2
Chassagne-Montrachet Premier Cru 'Morgeot' Blanc,1701,4.4,,3.190376,0.0,2
Chassagne-Montrachet Premier Cru Morgeot Marquis de Laguiche ,1640,4.5,,3.2229097,4.55,4
Chateau Buena Vista Cabernet Sauvignon Napa Valley,13415,4.3,3.2363372,3.289551,4.4,9
Chateauneuf-Du-Pape Cuvée Des Générations Marie Leoncie,1041,4.4,,3.090322,0.0,2
Chateauneuf-du-Pape Réserve des Célestins,1633,4.6,3.0196457,3.1329765,2.3,9
Chevalier-Montrachet Grand Cru,2340,4.6,,3.2542887,4.7,3
Chevalier-Montrachet Grand Cru Blanc,1283,4.4,,3.2550032,4.5,4
Chloe Chardonnay,458,4.5,,3.1829827,0.0,2
Château Margaux (Premier Grand Cru Classé),45350,4.6,3.8258963,4.170338,4.635714285714286,9
Châteauneuf-Du-Pape Cuvée Des Générations Gaston-Philippe,2077,4.4,3.0934217,3.1158712,4.5,9
